Library Description,C1,C2,C3,p,ds,rho,nH,T,H,E
p70000_ds0.006_rho2800_nH10_T10_Ep5e7_mu0.50,-3.565774679,-13.25212574,-9.731796265,70000,0.006,2800,10,10,0.06,50000000
p70000_ds0.005_rho2550_nH10_T18_Ep5e7_mu0.50,-3.815353155,-13.54132271,-8.65729332,70000,0.005,2550,10,18,0.05,50000000
p100000_ds0.007_rho2450_nH15_T18_Ep5e7_mu0.50,-3.630213022,-12.7075634,-7.765070915,100000,0.007,2450,15,18,0.105,50000000
p100000_ds0.007_rho2500_nH15_T18_Ep5e7_mu0.50,-3.634392023,-12.56248093,-7.401643753,100000,0.007,2500,15,18,0.105,50000000
p100000_ds0.007_rho2500_nH15_T16_Ep5e7_mu0.50,-3.644012451,-12.43955326,-6.927408695,100000,0.007,2500,15,16,0.105,50000000
p100000_ds0.004_rho2600_nH15_T10_Ep5e7_mu0.50,-3.693730831,-12.13231373,-5.748933315,100000,0.004,2600,15,10,0.06,50000000
p100000_ds0.004_rho2400_nH15_T12_Ep5e7_mu0.50,-3.709022522,-12.15714264,-5.730668068,100000,0.004,2400,15,12,0.06,50000000
p100000_ds0.004_rho2450_nH15_T10_Ep5e7_mu0.50,-3.757372856,-12.125,-5.19820261,100000,0.004,2450,15,10,0.06,50000000
p200000_ds0.004_rho2600_nH30_T18_Ep5e7_mu0.50,-3.334500551,-9.247062683,-0.227217615,200000,0.004,2600,30,18,0.12,50000000
p60000_ds0.007_rho2500_nH10_T20_Ep5e7_mu0.50,-3.977760792,-15.03162575,-11.48500443,60000,0.007,2500,10,20,0.07,50000000
p100000_ds0.006_rho2450_nH18_T16_Ep5e7_mu0.50,-3.709001303,-12.76634502,-7.33742094,100000,0.006,2450,18,16,0.108,50000000
p100000_ds0.007_rho2500_nH18_T18_Ep5e7_mu0.50,-3.739865541,-12.66355133,-6.956786156,100000,0.007,2500,18,18,0.126,50000000
p100000_ds0.005_rho2450_nH18_T16_Ep5e7_mu0.50,-3.670755386,-12.13344097,-5.972639084,100000,0.005,2450,18,16,0.09,50000000
p100000_ds0.005_rho2650_nH18_T18_Ep5e7_mu0.50,-3.773585796,-12.69160748,-6.660861492,100000,0.005,2650,18,18,0.09,50000000
p100000_ds0.005_rho2350_nH18_T18_Ep5e7_mu0.50,-3.718062639,-12.37257957,-6.215456009,100000,0.005,2350,18,18,0.09,50000000
p100000_ds0.006_rho2450_nH18_T18_Ep5e7_mu0.50,-3.765459061,-12.61249924,-6.4464221,100000,0.006,2450,18,18,0.108,50000000
p100000_ds0.004_rho2550_nH18_T16_Ep5e7_mu0.50,-3.794964075,-12.54304695,-6.131123066,100000,0.004,2550,18,16,0.072,50000000
p100000_ds0.004_rho2550_nH18_T14_Ep5e7_mu0.50,-3.71863389,-12.01116467,-5.218291283,100000,0.004,2550,18,14,0.072,50000000
p100000_ds0.004_rho2600_nH18_T10_Ep5e7_mu0.50,-3.799218416,-12.18327904,-5.124140263,100000,0.004,2600,18,10,0.072,50000000
p100000_ds0.006_rho2600_nH18_T10_Ep5e7_mu0.50,-4.022667408,-13.07544231,-5.949834347,100000,0.006,2600,18,10,0.108,50000000
p100000_ds0.004_rho2450_nH18_T12_Ep5e7_mu0.50,-3.883903503,-12.32146168,-4.87462759,100000,0.004,2450,18,12,0.072,50000000
p80000_ds0.007_rho2550_nH15_T20_Ep5e7_mu0.50,-3.809269428,-13.86685467,-9.712443352,80000,0.007,2550,15,20,0.105,50000000
p80000_ds0.006_rho2450_nH15_T18_Ep5e7_mu0.50,-3.885418415,-14.03504372,-9.511188507,80000,0.006,2450,15,18,0.09,50000000
p50000_ds0.006_rho2450_nH10_T12_Ep5e7_mu0.50,-4.069415092,-16.03870201,-13.64475632,50000,0.006,2450,10,12,0.06,50000000
p60000_ds0.006_rho2600_nH12_T14_Ep5e7_mu0.50,-4.010831356,-15.10395813,-11.51172256,60000,0.006,2600,12,14,0.072,50000000
p50000_ds0.004_rho2600_nH10_T14_Ep5e7_mu0.50,-4.126513004,-15.96209812,-12.7957468,50000,0.004,2600,10,14,0.04,50000000
p50000_ds0.005_rho2600_nH10_T14_Ep5e7_mu0.50,-4.112443447,-15.71831989,-12.3174448,50000,0.005,2600,10,14,0.05,50000000
p50000_ds0.004_rho2550_nH10_T16_Ep5e7_mu0.50,-4.153046608,-15.76269817,-12.10053062,50000,0.004,2550,10,16,0.04,50000000
p90000_ds0.008_rho2600_nH18_T12_Ep5e7_mu0.50,-3.857792377,-13.0766077,-7.205709457,90000,0.008,2600,18,12,0.144,50000000
p90000_ds0.005_rho2450_nH18_T16_Ep5e7_mu0.50,-3.863276958,-13.14801788,-7.270134926,90000,0.005,2450,18,16,0.09,50000000
p100000_ds0.006_rho2600_nH20_T18_Ep5e7_mu0.50,-3.812513351,-12.65543365,-6.381763935,100000,0.006,2600,20,18,0.12,50000000
p100000_ds0.005_rho2650_nH20_T18_Ep5e7_mu0.50,-3.870900869,-13.01498127,-6.84444952,100000,0.005,2650,20,18,0.1,50000000
p100000_ds0.004_rho2550_nH20_T14_Ep5e7_mu0.50,-3.785465956,-12.48319817,-6.001312256,100000,0.004,2550,20,14,0.08,50000000
p50000_ds0.003_rho2400_nH10_T18_Ep5e7_mu0.50,-4.046358109,-13.94671822,-7.77408886,50000,0.003,2400,10,18,0.03,50000000
p50000_ds0.003_rho2350_nH10_T16_Ep5e7_mu0.50,-4.12907362,-14.32273197,-8.218615532,50000,0.003,2350,10,16,0.03,50000000
p100000_ds0.005_rho2350_nH20_T20_Ep5e7_mu0.50,-3.840393782,-12.41731548,-5.513493538,100000,0.005,2350,20,20,0.1,50000000
p100000_ds0.005_rho2350_nH20_T16_Ep5e7_mu0.50,-3.840063095,-12.47706127,-5.528345108,100000,0.005,2350,20,16,0.1,50000000
p50000_ds0.003_rho2400_nH10_T20_Ep5e7_mu0.50,-3.972967386,-13.19040966,-6.295648575,50000,0.003,2400,10,20,0.03,50000000
p50000_ds0.003_rho2350_nH10_T14_Ep5e7_mu0.50,-4.081903458,-13.66211987,-6.834946156,50000,0.003,2350,10,14,0.03,50000000
p100000_ds0.004_rho2550_nH20_T16_Ep5e7_mu0.50,-3.906566381,-12.44720459,-4.981590748,100000,0.004,2550,20,16,0.08,50000000
p100000_ds0.003_rho2650_nH20_T12_Ep5e7_mu0.50,-3.772714376,-11.50546074,-3.449136019,100000,0.003,2650,20,12,0.06,50000000
p100000_ds0.006_rho2650_nH20_T14_Ep5e7_mu0.50,-3.948174477,-12.37527466,-4.479147434,100000,0.006,2650,20,14,0.12,50000000
p100000_ds0.003_rho2650_nH20_T16_Ep5e7_mu0.50,-3.752469301,-11.25948143,-2.792142868,100000,0.003,2650,20,16,0.06,50000000
